gridcode,country,longitude,latitude,station_name,station_id,area_km2
318,CA,-68.5958328247,47.2580604553,SAINT JOHN RIVER AT FORT KENT,01AD002,11098.1533796962
319,CA,-71.4475021362,46.0441703796,BECANCOUR (RIVIERE)  A 5.1 KM EN AVAL DU RUISSEAU SALABERRY,02PL009,226.919032276721
320,CA,-65.36638641,46.07236099,CANAAN RIVER AT EAST CANAAN,01AP002,649.836506631901
321,CA,-67.7279434204,46.2162208557,MEDUXNEKEAG RIVER NEAR BELLEVILLE,01AJ003,1213.76698318678
322,CA,-75.0227813721,45.8833312988,"SUFFOLK (RUISSEAU) A 0,2 KM EN AMONT DU PONT-ROUTE A CHENEVILLE",02LD006,62.2994630700521
323,CA,-71.4513931274,46.3061103821,"BECANCOUR (RIVIERE) A 2,1 KM EN AMONT DE LA RIVIERE PALMER",02PL005,694.269080387519
326,CA,-64.8779983521,45.9594993591,TURTLE CREEK AT TURTLE CREEK,01BU003,130.921118707073
327,CA,-76.06944275,46.07749939,PICANOC (RIVIERE) PRES DE WRIGHT,02LH004,1275.75109858091
329,CA,-72.306388855,46.056388855,"NICOLET (RIVIERE) A 5,8 KM EN AVAL DE LA RIVIERE BULSTRODE",02OD003,1549.84915067082
330,CA,-73.49305725,45.84638977,ACHIGAN (RIVIERE DE L') A L'EPIPHANIE,02OB037,629.346154062713
332,CA,-67.3203582764,45.9435310364,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,01AK001,233.164366270743
333,CA,-79.3087921143,45.7037696838,NORTH MAGNETAWAN RIVER ABOVE PICKEREL LAKE,02EA010,146.71241575893
335,CA,-61.2861099243,45.720249176,RIVER INHABITANTS AT GLENORA,01FA001,194.308682762741
336,CA,-72.5111083984,45.8766708374,SAINT-GERMAIN (RIVIERE) AU PONT-ROUTE 122 A DRUMMONDVILLE,02OF020,271.283479064354
339,CA,-65.6016922,45.70138931,KENNEBECASIS RIVER AT APOHAQUI,01AP004,1104.65861949472
340,CA,-65.0159683228,45.5585594177,POINT WOLFE RIVER AT FUNDY NATIONAL PARK,01BV006,136.167816859805
343,CA,-66.68289185,45.67377853,NORTH BRANCH OROMOCTO RIVER AT TRACY,01AM001,557.32802584317
344,CA,-66.3189697266,45.5034408569,NEREPIS RIVER NEAR FOWLERS CORNER,01AP006,293.766729138302
345,CA,-64.4506912231,45.5868110657,KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD,01DL001,65.5747367748619
